produto,categoria,estoque_inicial,vendas_do_mes,custo_unitario,preco_venda
Janela de Alumínio Industrial,Iluminação,263,326,362.28,609.52
Tijolo Reforçada,Elétrica,189,203,90.4,122.72
Fio Elétrico Reforçada,Acabamento,502,450,18.95,34.64
Tijolo Premium,Hidráulica,678,446,207.1,371.62
Telha de Zinco Extra,Elétrica,44,366,293.45,410.23
Tomada Extra,Iluminação,84,132,354.47,723.8
Porta de Madeira Reforçada,Estrutura,953,71,405.92,513.45
Tijolo Industrial,Iluminação,298,77,307.22,364.48
Bloco de Concreto Refinada,Acabamento,380,188,59.89,98.15
Brita Premium,Hidráulica,596,355,342.88,573.9
Tijolo Residencial,Hidráulica,338,70,492.17,761.7
Argamassa Premium,Acabamento,599,262,453.26,662.27
Bloco de Concreto Reforçada,Elétrica,776,305,436.48,687.14
Tinta Acrílica Industrial,Elétrica,786,45,154.57,205.38
Canos PVC Reforçada,Hidráulica,313,223,376.64,627.04
Lâmpada LED Refinada,Hidráulica,588,327,426.3,1008.82
Prego Reforçada,Estrutura,230,249,340.77,481.92
Tomada Industrial,Elétrica,988,75,129.03,265.57
Areia Comum,Acabamento,173,73,477.15,619.58
Tinta Acrílica Residencial,Elétrica,489,141,228.16,364.02
Prego Industrial,Estrutura,464,72,69.25,107.31
Rejunte Residencial,Hidráulica,384,101,59.34,143.12
Porta de Madeira Comercial,Hidráulica,229,93,325.52,553.12
Rejunte Reforçada,Estrutura,693,68,221.67,458.11
Lâmpada LED Residencial,Acabamento,263,64,51.77,100.61
Parafuso Comercial,Hidráulica,731,192,371.48,481.97
Cimento Comum,Iluminação,197,440,400.67,967.76
Telha de Zinco Refinada,Hidráulica,200,61,364.08,576.78
Telha Cerâmica Refinada,Iluminação,398,19,105.12,122.22
Telha Cerâmica Industrial,Estrutura,224,240,346.44,526.8
Bloco de Concreto Premium,Estrutura,384,202,10.31,16.19
Bloco de Concreto Industrial,Hidráulica,95,409,156.03,191.89
Telha Cerâmica Extra,Elétrica,483,299,202.42,398.36
Areia Industrial,Iluminação,627,194,418.45,663.44
Lâmpada LED Comercial,Acabamento,853,453,198.25,392.69
Parafuso Comum,Hidráulica,817,61,10.58,11.74
Tinta Acrílica Comercial,Acabamento,540,106,179.41,444.02
Parafuso Residencial,Hidráulica,56,124,251.97,337.32
Parafuso Reforçada,Elétrica,74,300,474.76,960.47
Brita Refinada,Elétrica,972,266,470.81,989.69
Janela de Alumínio Extra,Elétrica,484,455,94.53,126.69
Fio Elétrico Residencial,Elétrica,155,476,96.65,121.43
Fio Elétrico Refinada,Estrutura,955,201,85.87,112.8
Brita Residencial,Estrutura,807,161,395.52,571.74
Canos PVC Comercial,Iluminação,391,343,7.98,10.66
Porta de Madeira Premium,Acabamento,75,301,67.95,138.86
Tomada Refinada,Hidráulica,526,111,271.29,458.25
Tinta Acrílica Refinada,Hidráulica,102,336,127.54,236.32
Interruptor Comum,Estrutura,874,31,50.72,59.15
Canos PVC Extra,Hidráulica,435,458,183.14,422.27
Telha Cerâmica Comum,Estrutura,477,97,140.73,188.41
Canos PVC Premium,Iluminação,103,471,258.0,413.89
Janela de Alumínio Refinada,Acabamento,627,246,489.72,587.99
Telha Cerâmica Residencial,Iluminação,142,260,66.53,85.92
Argamassa Extra,Elétrica,443,190,189.5,385.09
Cimento Reforçada,Elétrica,350,28,466.33,965.13
Madeira Serrada Refinada,Elétrica,323,47,439.05,899.07
Madeira Serrada Comercial,Iluminação,600,495,200.16,374.9
Fio Elétrico Premium,Hidráulica,221,249,350.98,854.12
Telha de Zinco Comercial,Acabamento,529,225,48.49,87.77
Areia Reforçada,Elétrica,168,271,357.71,618.54
Tomada Comercial,Elétrica,277,152,486.56,703.84
Tijolo Refinada,Elétrica,670,484,271.06,335.68
Madeira Serrada Residencial,Acabamento,871,327,251.75,470.12
Areia Residencial,Elétrica,967,284,97.72,150.57
Tijolo Comum,Acabamento,612,179,318.73,584.43
Rejunte Comum,Elétrica,757,301,297.27,412.78
Parafuso Industrial,Iluminação,483,152,327.71,745.03
Tomada Comum,Iluminação,810,233,17.91,44.77
Janela de Alumínio Reforçada,Acabamento,419,22,276.62,429.14
Tinta Acrílica Premium,Iluminação,483,417,299.49,682.62
Porta de Madeira Extra,Acabamento,365,450,107.73,250.17
Brita Comum,Iluminação,689,93,108.12,269.71
Argamassa Refinada,Iluminação,202,369,141.73,223.91
Telha de Zinco Premium,Acabamento,708,244,357.3,771.22
Parafuso Premium,Hidráulica,280,289,305.1,433.34
Telha de Zinco Residencial,Iluminação,123,159,423.65,836.59
Telha Cerâmica Comercial,Elétrica,906,372,151.35,315.83
Interruptor Refinada,Hidráulica,532,284,456.47,975.74
Madeira Serrada Comum,Acabamento,64,8,373.13,518.67
Prego Comercial,Hidráulica,779,449,200.53,458.86
Areia Comercial,Estrutura,74,184,52.15,88.1
Fio Elétrico Extra,Estrutura,693,294,132.21,185.48
Parafuso Refinada,Iluminação,281,134,478.6,889.98
Tomada Premium,Iluminação,511,109,158.63,366.23
Tomada Reforçada,Elétrica,671,68,168.3,413.0
Lâmpada LED Premium,Hidráulica,371,135,98.85,212.28
Madeira Serrada Industrial,Estrutura,155,95,404.39,448.01
Telha de Zinco Industrial,Iluminação,952,118,141.44,182.26
Lâmpada LED Industrial,Hidráulica,218,373,168.48,203.32
Argamassa Residencial,Iluminação,295,273,210.1,260.88
Interruptor Industrial,Iluminação,19,357,219.7,359.48
Prego Premium,Estrutura,748,365,208.61,328.33
Porta de Madeira Residencial,Estrutura,195,337,254.35,320.27
Janela de Alumínio Comum,Iluminação,583,176,408.18,953.15
Brita Industrial,Acabamento,606,360,410.55,805.33
Cimento Extra,Iluminação,473,236,400.17,886.4
Cimento Comercial,Iluminação,143,271,55.06,89.21
Janela de Alumínio Residencial,Elétrica,844,276,400.84,671.14
Cimento Industrial,Elétrica,818,137,64.52,99.66
Canos PVC Residencial,Elétrica,180,361,66.74,114.38
Brita Extra,Acabamento,222,131,474.19,926.82
Fio Elétrico Comercial,Acabamento,982,43,410.6,735.05
Telha de Zinco Comum,Iluminação,539,122,278.44,632.92
Bloco de Concreto Extra,Elétrica,835,135,438.11,1034.02
Lâmpada LED Comum,Acabamento,511,366,494.74,869.53
Rejunte Industrial,Estrutura,581,372,307.27,441.13
Interruptor Premium,Iluminação,609,125,308.38,747.29
Argamassa Reforçada,Hidráulica,36,438,378.44,805.72
Canos PVC Comum,Iluminação,77,274,119.91,239.36
Madeira Serrada Premium,Hidráulica,799,494,87.73,188.06
Parafuso Extra,Elétrica,417,63,380.99,459.62
Argamassa Comum,Hidráulica,561,295,175.73,209.94
Rejunte Premium,Elétrica,118,231,71.86,94.45
Tijolo Extra,Estrutura,83,50,160.86,210.15
Cimento Premium,Hidráulica,587,136,182.53,308.28
Brita Comercial,Iluminação,689,157,482.79,637.46
Prego Comum,Elétrica,271,55,350.49,804.84
Rejunte Extra,Iluminação,377,80,267.77,511.26
Janela de Alumínio Comercial,Acabamento,795,231,484.59,782.89
Porta de Madeira Comum,Elétrica,858,427,452.05,541.32
Areia Refinada,Hidráulica,879,442,258.44,498.13
Tinta Acrílica Comum,Elétrica,246,398,453.31,572.6
Prego Refinada,Iluminação,736,451,205.13,439.08
Argamassa Industrial,Estrutura,375,325,119.06,264.77
Interruptor Extra,Elétrica,295,127,120.18,223.72
Prego Residencial,Hidráulica,387,125,332.85,435.85
Interruptor Residencial,Acabamento,670,316,253.03,557.07
Areia Extra,Estrutura,839,79,331.18,507.02
Cimento Refinada,Acabamento,915,473,344.61,486.49
Lâmpada LED Extra,Elétrica,385,376,16.05,28.23
Fio Elétrico Comum,Iluminação,628,356,31.75,75.94
Interruptor Comercial,Iluminação,662,406,268.68,407.41
Bloco de Concreto Comercial,Hidráulica,85,332,99.56,235.74
Bloco de Concreto Residencial,Iluminação,18,174,318.1,373.8
Fio Elétrico Industrial,Estrutura,205,144,278.33,338.71
Rejunte Refinada,Iluminação,816,440,294.95,612.9
Canos PVC Refinada,Hidráulica,801,125,154.72,211.48
Telha de Zinco Reforçada,Elétrica,902,181,321.72,496.5
Areia Premium,Elétrica,639,218,415.6,536.51
Tinta Acrílica Reforçada,Iluminação,299,435,499.05,781.09
Lâmpada LED Reforçada,Acabamento,70,277,420.03,626.96
Argamassa Comercial,Elétrica,946,484,280.96,598.69
Canos PVC Industrial,Iluminação,398,82,100.75,209.85
Rejunte Comercial,Hidráulica,856,422,342.32,834.2
Bloco de Concreto Comum,Iluminação,827,482,469.14,991.85
Cimento Residencial,Elétrica,909,140,109.87,227.73
Telha Cerâmica Reforçada,Hidráulica,572,333,131.72,272.91
Brita Reforçada,Iluminação,573,495,78.76,184.0
Tijolo Comercial,Estrutura,643,94,369.68,559.97
Tomada Residencial,Hidráulica,688,364,206.25,313.53
Interruptor Reforçada,Estrutura,17,193,36.03,77.02
Madeira Serrada Extra,Acabamento,378,109,438.1,622.18
Porta de Madeira Refinada,Hidráulica,54,51,281.05,668.01
Porta de Madeira Industrial,Estrutura,353,102,168.89,312.23
Prego Extra,Elétrica,766,100,175.27,266.44
Madeira Serrada Reforçada,Elétrica,805,141,148.67,325.07
Tinta Acrílica Extra,Acabamento,384,200,230.46,354.27
Telha Cerâmica Premium,Hidráulica,628,457,171.84,420.77
Janela de Alumínio Premium,Hidráulica,36,318,276.23,684.0
Janela de Alumínio Industrial,Hidráulica,202,198,387.89,788.78
Tijolo Reforçada,Acabamento,939,283,338.86,426.65
Fio Elétrico Reforçada,Hidráulica,858,493,150.76,221.39
Tijolo Premium,Elétrica,366,216,266.73,485.87
Telha de Zinco Extra,Estrutura,71,45,420.86,964.62
Tomada Extra,Elétrica,71,27,38.76,52.67
Porta de Madeira Reforçada,Elétrica,431,1,43.76,54.53
Tijolo Industrial,Estrutura,803,382,280.3,337.56
Bloco de Concreto Refinada,Elétrica,642,16,321.36,581.58
Brita Premium,Acabamento,801,314,109.65,256.43
Tijolo Residencial,Estrutura,560,435,373.88,433.44
Argamassa Premium,Elétrica,389,387,324.9,453.97
Bloco de Concreto Reforçada,Iluminação,286,76,462.03,956.66
Tinta Acrílica Industrial,Elétrica,615,465,88.63,199.97
Canos PVC Reforçada,Acabamento,440,386,376.93,840.69
Lâmpada LED Refinada,Hidráulica,124,370,46.4,102.04
Prego Reforçada,Elétrica,697,164,284.82,365.06
Tomada Industrial,Hidráulica,130,96,278.19,460.72
Areia Comum,Iluminação,534,104,197.25,488.91
Tinta Acrílica Residencial,Elétrica,908,23,423.06,1051.07
Prego Industrial,Estrutura,425,199,7.16,13.91
Rejunte Residencial,Hidráulica,172,34,262.49,549.38
Porta de Madeira Comercial,Iluminação,796,1,112.49,273.55
Rejunte Reforçada,Estrutura,919,288,373.03,645.3
Lâmpada LED Residencial,Estrutura,697,331,26.32,34.0
Parafuso Comercial,Estrutura,991,341,416.62,848.46
Cimento Comum,Estrutura,346,460,419.86,1026.2
Telha de Zinco Refinada,Elétrica,388,137,417.27,866.29
Telha Cerâmica Refinada,Elétrica,333,336,80.52,179.13
Telha Cerâmica Industrial,Elétrica,182,61,317.05,536.4
Bloco de Concreto Premium,Iluminação,796,298,12.11,14.96
Bloco de Concreto Industrial,Iluminação,73,196,424.74,567.64
Telha Cerâmica Extra,Iluminação,110,376,362.87,898.36
Areia Industrial,Acabamento,331,58,267.92,479.7
Lâmpada LED Comercial,Iluminação,984,264,366.64,409.47
Parafuso Comum,Elétrica,75,332,51.69,126.0
Tinta Acrílica Comercial,Elétrica,852,187,266.68,479.2
Parafuso Residencial,Acabamento,566,62,149.18,338.75
Parafuso Reforçada,Acabamento,608,307,486.45,908.61
Brita Refinada,Iluminação,467,278,429.27,533.32
Janela de Alumínio Extra,Hidráulica,588,29,367.97,721.88
Fio Elétrico Residencial,Acabamento,462,170,467.21,1166.32
Fio Elétrico Refinada,Estrutura,268,451,176.69,202.95
Brita Residencial,Elétrica,943,20,450.94,1027.47
Canos PVC Comercial,Estrutura,726,298,165.99,237.31
Porta de Madeira Premium,Elétrica,435,200,367.73,607.27
Tomada Refinada,Elétrica,988,134,369.53,599.3
Tinta Acrílica Refinada,Acabamento,945,271,14.08,33.21
Interruptor Comum,Acabamento,187,22,183.72,331.85
Canos PVC Extra,Estrutura,940,441,14.62,25.23
Telha Cerâmica Comum,Elétrica,289,86,498.56,1119.38
Canos PVC Premium,Estrutura,353,30,65.49,76.52
Janela de Alumínio Refinada,Hidráulica,26,120,273.69,334.19
Telha Cerâmica Residencial,Estrutura,305,68,396.33,448.0
Argamassa Extra,Iluminação,211,133,104.63,215.87
Cimento Reforçada,Estrutura,971,370,245.1,449.97
Madeira Serrada Refinada,Iluminação,693,448,305.68,711.14
Madeira Serrada Comercial,Iluminação,928,314,84.3,151.57
Fio Elétrico Premium,Iluminação,783,495,390.38,550.65
Telha de Zinco Comercial,Hidráulica,203,411,153.17,341.14
Areia Reforçada,Estrutura,158,145,109.46,165.51
Tomada Comercial,Estrutura,384,471,281.35,678.04
Tijolo Refinada,Hidráulica,897,332,208.11,301.88
Madeira Serrada Residencial,Elétrica,44,480,460.54,614.73
Areia Residencial,Acabamento,378,393,440.63,789.02
Tijolo Comum,Estrutura,38,262,244.26,285.96
Rejunte Comum,Acabamento,784,292,182.84,210.44
Parafuso Industrial,Hidráulica,230,479,166.13,298.11
Tomada Comum,Elétrica,62,428,137.44,192.57
Janela de Alumínio Reforçada,Elétrica,942,85,274.55,305.6
Tinta Acrílica Premium,Elétrica,800,15,403.46,611.03
Porta de Madeira Extra,Hidráulica,362,215,158.82,280.84
Brita Comum,Iluminação,401,115,99.1,163.71
Argamassa Refinada,Iluminação,85,117,240.36,309.98
Telha de Zinco Premium,Acabamento,503,269,39.17,74.88
Parafuso Premium,Iluminação,697,394,352.13,737.52
Telha de Zinco Residencial,Iluminação,531,466,261.59,535.15
Telha Cerâmica Comercial,Elétrica,984,342,250.71,413.99
Interruptor Refinada,Elétrica,126,161,153.72,198.7
Madeira Serrada Comum,Acabamento,289,187,452.81,814.73
Prego Comercial,Estrutura,739,103,49.79,116.84
Areia Comercial,Acabamento,184,140,435.56,764.94
Fio Elétrico Extra,Acabamento,755,166,191.47,263.07
Parafuso Refinada,Hidráulica,958,299,440.91,542.44
Tomada Premium,Hidráulica,773,27,365.74,885.64
Tomada Reforçada,Acabamento,304,423,56.56,121.05
Lâmpada LED Premium,Acabamento,460,271,416.61,640.81
Madeira Serrada Industrial,Acabamento,843,49,342.68,518.64
Telha de Zinco Industrial,Iluminação,527,370,20.99,49.4
Lâmpada LED Industrial,Hidráulica,30,155,71.18,95.99
Argamassa Residencial,Acabamento,82,323,319.64,591.03
Interruptor Industrial,Elétrica,851,347,332.99,698.91
Prego Premium,Elétrica,45,120,374.59,619.93
Porta de Madeira Residencial,Iluminação,516,443,361.52,417.87
Janela de Alumínio Comum,Iluminação,908,139,331.46,470.3
Brita Industrial,Estrutura,242,15,384.29,907.9
Cimento Extra,Estrutura,737,308,289.67,530.78
Cimento Comercial,Estrutura,991,437,134.09,300.58
Janela de Alumínio Residencial,Iluminação,506,48,456.63,857.53
Cimento Industrial,Iluminação,215,163,14.02,33.94
Canos PVC Residencial,Iluminação,435,61,186.45,442.41
Brita Extra,Elétrica,950,339,365.79,649.66
Fio Elétrico Comercial,Iluminação,53,153,216.44,334.53
Telha de Zinco Comum,Elétrica,100,311,17.29,33.58
Bloco de Concreto Extra,Estrutura,938,375,37.66,77.01
Lâmpada LED Comum,Estrutura,837,345,326.08,586.19
Rejunte Industrial,Estrutura,479,149,482.61,1086.45
Interruptor Premium,Acabamento,614,375,278.17,377.38
Argamassa Reforçada,Acabamento,476,72,255.85,401.22
Canos PVC Comum,Hidráulica,860,68,162.57,335.04
Madeira Serrada Premium,Hidráulica,463,464,132.06,190.87
Parafuso Extra,Hidráulica,604,176,15.39,26.41
Argamassa Comum,Acabamento,342,353,140.11,343.16
Rejunte Premium,Acabamento,516,1,227.31,449.22
Tijolo Extra,Hidráulica,803,308,102.99,250.13
Cimento Premium,Hidráulica,479,118,48.24,101.85
Brita Comercial,Iluminação,30,6,360.28,761.82
Prego Comum,Hidráulica,237,254,447.84,863.7
Rejunte Extra,Iluminação,385,483,468.7,608.88
Janela de Alumínio Comercial,Elétrica,139,460,310.91,568.22
Porta de Madeira Comum,Acabamento,696,403,31.12,45.24
Areia Refinada,Hidráulica,629,477,371.73,928.63
Tinta Acrílica Comum,Acabamento,423,413,59.5,87.69
Prego Refinada,Acabamento,804,74,336.53,478.87
Argamassa Industrial,Acabamento,80,350,390.79,771.2
Interruptor Extra,Elétrica,413,194,364.3,661.32
Prego Residencial,Estrutura,571,186,476.18,538.03
Interruptor Residencial,Hidráulica,616,449,370.38,474.59
Areia Extra,Estrutura,800,495,348.14,778.25
Cimento Refinada,Estrutura,406,2,134.56,239.14
Lâmpada LED Extra,Estrutura,346,183,462.76,603.63
Fio Elétrico Comum,Acabamento,653,334,93.87,164.4
Interruptor Comercial,Iluminação,514,272,452.92,658.73
Bloco de Concreto Comercial,Acabamento,919,367,159.77,225.76
Bloco de Concreto Residencial,Acabamento,285,51,69.43,169.47
Fio Elétrico Industrial,Estrutura,901,262,414.21,665.57
Rejunte Refinada,Acabamento,22,367,6.24,7.27
Canos PVC Refinada,Estrutura,12,132,416.88,1024.88
Telha de Zinco Reforçada,Iluminação,995,481,134.84,298.37
Areia Premium,Hidráulica,995,224,442.94,645.0
Tinta Acrílica Reforçada,Estrutura,987,309,347.28,580.81
Lâmpada LED Reforçada,Iluminação,233,60,334.76,772.36
Argamassa Comercial,Hidráulica,983,364,185.83,297.4
Canos PVC Industrial,Elétrica,184,15,34.4,65.17
Rejunte Comercial,Estrutura,908,228,415.89,768.9
Bloco de Concreto Comum,Estrutura,394,194,89.6,148.9
Cimento Residencial,Elétrica,611,250,189.27,377.65
Telha Cerâmica Reforçada,Elétrica,929,442,302.18,532.62
Brita Reforçada,Estrutura,250,302,243.72,275.34
Tijolo Comercial,Elétrica,556,47,103.34,231.5
Tomada Residencial,Acabamento,23,234,74.61,93.89
Interruptor Reforçada,Hidráulica,204,120,66.01,115.5
Madeira Serrada Extra,Hidráulica,406,498,432.19,826.29
Porta de Madeira Refinada,Hidráulica,440,319,20.62,43.05
Porta de Madeira Industrial,Acabamento,315,49,488.62,818.49
Prego Extra,Elétrica,343,468,103.27,219.94
Madeira Serrada Reforçada,Iluminação,734,40,59.61,76.53
Tinta Acrílica Extra,Elétrica,419,455,290.6,585.51
Telha Cerâmica Premium,Estrutura,12,21,44.59,100.63
Janela de Alumínio Premium,Hidráulica,700,370,303.21,711.09
Janela de Alumínio Industrial,Elétrica,561,181,426.06,814.37
Tijolo Reforçada,Iluminação,461,4,28.71,44.16
Fio Elétrico Reforçada,Estrutura,685,144,400.93,532.72
Tijolo Premium,Acabamento,828,356,200.27,317.18
Telha de Zinco Extra,Acabamento,756,77,83.95,155.81
Tomada Extra,Iluminação,778,230,92.17,126.72
Porta de Madeira Reforçada,Estrutura,881,296,459.79,1118.91
Tijolo Industrial,Hidráulica,504,347,59.75,140.77
Bloco de Concreto Refinada,Elétrica,426,478,434.06,497.49
Brita Premium,Estrutura,400,208,274.4,517.72
Tijolo Residencial,Acabamento,382,162,24.33,53.65
Argamassa Premium,Iluminação,637,167,234.92,339.12
Bloco de Concreto Reforçada,Iluminação,61,277,409.64,751.06
Tinta Acrílica Industrial,Elétrica,385,236,364.47,608.08
Canos PVC Reforçada,Iluminação,404,175,246.95,339.6
Lâmpada LED Refinada,Iluminação,932,52,430.72,844.48
Prego Reforçada,Estrutura,151,348,64.58,160.88
Tomada Industrial,Hidráulica,95,9,455.42,733.86
Areia Comum,Elétrica,473,145,423.99,794.27
Tinta Acrílica Residencial,Estrutura,55,226,355.6,554.38
Prego Industrial,Hidráulica,853,235,409.85,954.02
Rejunte Residencial,Estrutura,247,463,274.19,633.5
Porta de Madeira Comercial,Estrutura,19,241,339.21,458.03
Rejunte Reforçada,Iluminação,673,304,282.5,666.68
Lâmpada LED Residencial,Hidráulica,582,70,180.94,237.41
Parafuso Comercial,Elétrica,539,157,286.59,353.54
Cimento Comum,Elétrica,607,18,132.45,266.77
Telha de Zinco Refinada,Hidráulica,658,54,222.94,365.68
Telha Cerâmica Refinada,Iluminação,922,443,143.98,265.36
Telha Cerâmica Industrial,Acabamento,751,214,65.83,132.56
Bloco de Concreto Premium,Estrutura,649,455,164.32,192.91
Bloco de Concreto Industrial,Iluminação,625,208,426.73,644.42
Telha Cerâmica Extra,Hidráulica,707,20,193.63,337.94
Areia Industrial,Estrutura,918,281,375.26,552.84
Lâmpada LED Comercial,Elétrica,187,248,91.72,107.18
Parafuso Comum,Acabamento,878,27,215.09,262.7
Tinta Acrílica Comercial,Elétrica,15,422,61.85,137.46
Parafuso Residencial,Hidráulica,862,416,73.62,174.92
Parafuso Reforçada,Estrutura,316,295,310.63,407.9
Brita Refinada,Hidráulica,557,210,305.7,442.95
Janela de Alumínio Extra,Estrutura,336,284,110.62,222.69
Fio Elétrico Residencial,Iluminação,365,19,239.84,584.25
Fio Elétrico Refinada,Acabamento,802,19,432.34,656.91
Brita Residencial,Iluminação,404,329,91.23,209.58
Canos PVC Comercial,Iluminação,309,395,14.51,26.24
Porta de Madeira Premium,Hidráulica,535,119,327.74,799.42
Tomada Refinada,Acabamento,758,96,31.48,40.63
Tinta Acrílica Refinada,Estrutura,294,119,490.07,1207.11
Interruptor Comum,Estrutura,339,24,306.76,526.82
Canos PVC Extra,Elétrica,59,152,237.85,578.95
Telha Cerâmica Comum,Estrutura,782,244,217.85,379.53
Canos PVC Premium,Hidráulica,977,259,288.67,531.76
Janela de Alumínio Refinada,Iluminação,631,3,49.86,111.02
Telha Cerâmica Residencial,Iluminação,718,392,465.36,982.69
Argamassa Extra,Iluminação,387,142,314.69,619.14
Cimento Reforçada,Acabamento,773,281,96.07,161.76
Madeira Serrada Refinada,Estrutura,609,334,283.48,626.32
Madeira Serrada Comercial,Hidráulica,834,345,70.96,172.26
Fio Elétrico Premium,Acabamento,547,219,13.69,15.25
Telha de Zinco Comercial,Elétrica,783,326,317.11,609.8
Areia Reforçada,Hidráulica,153,159,326.0,753.83
Tomada Comercial,Hidráulica,69,75,293.93,592.08
Tijolo Refinada,Hidráulica,877,98,95.82,212.83
Madeira Serrada Residencial,Iluminação,789,179,303.7,714.63
Areia Residencial,Hidráulica,84,126,32.97,70.93
Tijolo Comum,Estrutura,12,31,306.57,644.97
Rejunte Comum,Hidráulica,584,264,279.24,684.32
Parafuso Industrial,Iluminação,757,333,329.35,760.52
Tomada Comum,Hidráulica,457,12,448.26,1004.79
Janela de Alumínio Reforçada,Elétrica,967,439,425.93,520.05
Tinta Acrílica Premium,Elétrica,750,379,490.42,703.58
Porta de Madeira Extra,Iluminação,911,427,488.24,917.63
Brita Comum,Estrutura,284,480,387.3,810.77
Argamassa Refinada,Estrutura,539,351,478.43,729.37
Telha de Zinco Premium,Acabamento,601,338,434.31,534.49
Parafuso Premium,Iluminação,224,413,365.15,560.7
Telha de Zinco Residencial,Hidráulica,692,399,42.32,92.23
Telha Cerâmica Comercial,Iluminação,494,395,29.28,68.17
Interruptor Refinada,Acabamento,338,201,419.61,997.86
Madeira Serrada Comum,Iluminação,264,449,247.38,403.33
Prego Comercial,Iluminação,396,17,408.23,661.97
Areia Comercial,Acabamento,135,396,159.89,266.92
Fio Elétrico Extra,Estrutura,776,92,201.84,328.22
Parafuso Refinada,Hidráulica,593,279,351.59,714.67
Tomada Premium,Acabamento,559,357,458.09,733.7
Tomada Reforçada,Elétrica,333,395,48.44,54.66
Lâmpada LED Premium,Estrutura,213,315,431.43,739.74
Madeira Serrada Industrial,Elétrica,181,59,397.54,562.05
Telha de Zinco Industrial,Estrutura,744,476,161.19,183.81
Lâmpada LED Industrial,Hidráulica,226,213,180.83,318.11
Argamassa Residencial,Hidráulica,254,99,28.0,38.87
Interruptor Industrial,Iluminação,345,0,12.79,22.18
Prego Premium,Elétrica,712,42,241.12,358.99
Porta de Madeira Residencial,Estrutura,307,310,52.29,101.71
Janela de Alumínio Comum,Hidráulica,841,167,101.03,251.28
Brita Industrial,Acabamento,191,191,424.15,791.52
Cimento Extra,Hidráulica,343,33,287.66,576.95
Cimento Comercial,Acabamento,520,33,318.65,760.61
Janela de Alumínio Residencial,Estrutura,392,175,97.8,158.79
Cimento Industrial,Hidráulica,726,416,415.19,553.52
Canos PVC Residencial,Hidráulica,882,195,434.65,650.2
Brita Extra,Estrutura,208,485,264.05,439.36
Fio Elétrico Comercial,Hidráulica,341,157,456.72,914.82
Telha de Zinco Comum,Acabamento,174,244,423.19,468.23
Bloco de Concreto Extra,Hidráulica,251,499,367.01,842.19
Lâmpada LED Comum,Elétrica,909,365,368.37,444.45
Rejunte Industrial,Iluminação,651,339,57.17,134.97
Interruptor Premium,Acabamento,236,345,139.06,337.81
Argamassa Reforçada,Elétrica,643,334,38.09,94.7
Canos PVC Comum,Estrutura,565,70,9.3,20.77
Madeira Serrada Premium,Acabamento,460,326,83.36,108.25
Parafuso Extra,Iluminação,205,113,440.84,920.75
Argamassa Comum,Iluminação,879,284,123.74,171.34
Rejunte Premium,Estrutura,213,406,485.23,1143.19
Tijolo Extra,Estrutura,988,417,300.66,463.99
Cimento Premium,Acabamento,467,467,122.44,190.7
Brita Comercial,Hidráulica,839,142,251.08,598.75
Prego Comum,Estrutura,266,96,113.45,126.9
Rejunte Extra,Hidráulica,538,308,492.07,674.9
Janela de Alumínio Comercial,Elétrica,281,400,424.4,717.54
Porta de Madeira Comum,Iluminação,18,319,17.99,37.44
Areia Refinada,Hidráulica,770,211,474.15,951.43
Tinta Acrílica Comum,Iluminação,958,316,361.93,737.32
Prego Refinada,Hidráulica,210,184,45.78,106.76
Argamassa Industrial,Elétrica,68,204,336.97,427.76
Interruptor Extra,Estrutura,896,363,325.23,595.5
Prego Residencial,Elétrica,402,215,113.3,239.71
Interruptor Residencial,Estrutura,661,245,380.43,757.27
Areia Extra,Estrutura,128,238,48.1,83.1
Cimento Refinada,Iluminação,562,292,247.28,277.93
Lâmpada LED Extra,Elétrica,408,390,9.91,11.74
Fio Elétrico Comum,Hidráulica,843,7,484.53,613.67
Interruptor Comercial,Elétrica,340,470,377.02,595.89
Bloco de Concreto Comercial,Iluminação,276,77,83.63,105.77
Bloco de Concreto Residencial,Estrutura,529,323,174.13,295.41
Fio Elétrico Industrial,Iluminação,704,276,84.48,114.06
Rejunte Refinada,Acabamento,489,444,384.48,842.33
Canos PVC Refinada,Acabamento,143,493,34.15,79.23
Telha de Zinco Reforçada,Hidráulica,702,201,421.0,692.76
Areia Premium,Iluminação,925,213,471.39,855.98
Tinta Acrílica Reforçada,Hidráulica,944,93,339.93,827.69
Lâmpada LED Reforçada,Hidráulica,364,477,110.42,204.25
Argamassa Comercial,Acabamento,593,463,183.24,456.84
Canos PVC Industrial,Hidráulica,507,74,241.23,313.35
Rejunte Comercial,Acabamento,634,469,304.29,702.03
Bloco de Concreto Comum,Estrutura,116,156,335.99,603.47
Cimento Residencial,Iluminação,299,152,279.34,316.16
Telha Cerâmica Reforçada,Hidráulica,834,441,178.9,440.29
Brita Reforçada,Acabamento,638,141,446.0,1093.18
Tijolo Comercial,Elétrica,641,77,45.29,74.12
Tomada Residencial,Hidráulica,156,321,235.8,574.36
Interruptor Reforçada,Estrutura,336,181,388.9,504.56
Madeira Serrada Extra,Estrutura,424,460,35.13,72.09
Porta de Madeira Refinada,Elétrica,219,194,354.14,484.71
Porta de Madeira Industrial,Acabamento,305,157,410.76,593.67
Prego Extra,Hidráulica,407,145,332.11,727.68
Madeira Serrada Reforçada,Acabamento,112,53,11.4,18.56
Tinta Acrílica Extra,Estrutura,645,355,94.17,104.53
